,Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
356,GAYDAMAK-2,171180,,,UEQF,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,24/06/1999,Russia,,,,45,13,31.000 t.,99 t.,22.98 m.,22.75 m.,20.94 m.,4.66 m.,2.00 m.,1.54 m.,10.0,Diesel,Built ME: 1997 Country Construction: United Kingdom The company has built ME: The number and power of ME: 1*224 Mark ME: NT855M,,1 - Controllable pitch propeller,4,1* 54 1* 25,,,,,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,6,0,0,0,,,,0,Diesel oil,0 m3,,0,Cat1,11.0,"OOO ""IVNING STAR""  Address: Russia, 688610 Kamchatskiy kray, Tigilskiy r-n, s. Usty-Khayryuzovo, ul. Shkolnaya 14A IMO: Email: eveningstar2@mail.ru Company Website:","OOO ""IVNING STAR""  Address: Russia, 688610 Kamchatskiy kray, Tigilskiy r-n, s. Usty-Khayryuzovo, ul. Shkolnaya 14A IMO: Email: eveningstar2@mail.ru Company Website:",,,
357,OLIMP,171198,,,UIOZ,Nakhodka,Russia,KM(*) Ice2 R1 fishing vessel,,Fishing,01/09/2004,Russia,1077,,,98,30,53.000 t.,196 t.,26.50 m.,26.50 m.,23.21 m.,6.70 m.,3.05 m.,2.40 m.,9.4,Diesel,Built ME: 0 Country Construction: Russia The company has built ME: DALDIESEL-DV LTD The number and power of ME: 1*165 Mark ME: 6CHNSP 18/22,,1 - Fixed pitched solid propeller,4,1* 75 1* 30,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",1*32,,,,1,4,0,0,0,,,,0,Diesel oil,0 m3,,110,Cat1,17.5,"""RIBATSKIY PUTE"" CO., LTD  Address: Russia, 692954 Nakhodka, pos.Yuzhno-Morskoy, ul.Vostochnaya, 39 IMO: Email: rybatsky1@list.ru; rybatskyglbuh@list.ru Company Website:","""RIBATSKIY PUTE"" CO., LTD  Address: Russia, 692954 Nakhodka, pos.Yuzhno-Morskoy, ul.Vostochnaya, 39 IMO: Email: rybatsky1@list.ru; rybatskyglbuh@list.ru Company Website:",,,
358,ВОСТОК,171205,,,UHXV,Nakhodka,Russia,KM* R3,,Crewboat,27/10/2009,Russia,5,,,39,12,5.000 t.,34 t.,17.00 m.,17.00 m.,14.60 m.,4.56 m.,1.94 m.,1.05 m.,17.3,Diesel,Built ME: 2008 Country Construction: Belgium The company has built ME: The number and power of ME: 2*375 Mark ME:,,2 - Fixed pitched solid propeller,4,1* 5 2* 2,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,3,,0 m3,,0,Cat1,12.5,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","FEDERAL STATE INSTITUTION ""NAKHODKA MARITIME PORT ADMINISTRATION""  Address: Russia, 692904 Primorskiy kray, g. Nakhodka, ul. Portovaya, d. 1 IMO: 1763484 Email: priemnayanhd@pma.ru Company Website:",,,
359,МРС-225-363,173229,,,UAIB,Vladivostok,Russia,KM(*) L4 R2 fishing vessel,,Fishing,23/10/1994,,,,,64,0,23.000 t.,0 t.,20.40 m.,23.14 m.,0.00 m.,6.00 m.,2.65 m.,1.68 m.,0.0,Diesel,Built ME: 1992 Country Construction: Russia The company has built ME: The number and power of ME: 1*165 Mark ME: 6CHNSP 18/22,,1 - Fixed pitched solid propeller,4,1* 30,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Public address system Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""RIBATSKIY PUTE"" CO., LTD  Address: Russia, 692954 Nakhodka, pos.Yuzhno-Morskoy, ul.Vostochnaya, 39 IMO: Email: rybatsky1@list.ru; rybatskyglbuh@list.ru Company Website:",,,,
360,МРС-150-336,174010,,,UEPL,Nakhodka,Russia,KM(*) R2 fishing vessel,,Fishing,11/10/1990,Russia,336,,,61,18,23.000 t.,107 t.,21.94 m.,21.94 m.,19.20 m.,6.18 m.,2.65 m.,1.69 m.,9.5,Diesel,"Built ME: 2015 Country Construction: Korea The company has built ME: HYUNDAI DOOSAN INFRACORE CO., LTD The number and power of ME: 1*235 Mark ME: MD196TI",,1 - Fixed pitched solid propeller,4,1* 30,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",1*25,,,,1,4,0,0,0,1 - 1.4*2.3,,,0,Diesel oil,0 m3,,58,Cat1,16.0,UNKNOWN  Address: Country unknown IMO: Email: Company Website:,,,,
361,MRS-225 № 369,174062,,МРС-225-369,,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,20/05/2000,,,,,64,19,25.000 t.,0 t.,23.10 m.,23.10 m.,20.87 m.,6.00 m.,2.65 m.,0.00 m.,0.0,Diesel,,,,0,,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKHOTSKOE""  Address: Russia, 683031 Petropavlovsk-Kamchatskiy, ul. Toporkova, d.8/5 IMO: Email: okhotskoe@crabfish.ru Company Website:","OOO ""OKHOTSKOE""  Address: Russia, 683031 Petropavlovsk-Kamchatskiy, ul. Toporkova, d.8/5 IMO: Email: okhotskoe@crabfish.ru Company Website:",,,
362,MRS-225 № 370,174063,,МРС-225-370,UGIE,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,20/05/2000,Russia,,,,64,19,25.000 t.,113 t.,23.14 m.,23.14 m.,20.40 m.,6.00 m.,2.65 m.,1.73 m.,9.0,Diesel,,,1 - Fixed pitched solid propeller,4,,,,,,"Magnetic compass NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,6,Diesel oil,0 m3,,0,Cat1,16.0,"OOO ""OKHOTSKOE""  Address: Russia, 683031 Petropavlovsk-Kamchatskiy, ul. Toporkova, d.8/5 IMO: Email: okhotskoe@crabfish.ru Company Website:","OOO ""OKHOTSKOE""  Address: Russia, 683031 Petropavlovsk-Kamchatskiy, ul. Toporkova, d.8/5 IMO: Email: okhotskoe@crabfish.ru Company Website:",,,
363,АВЕ МАРИЯ,185086,,РАДУГА,UBJJ5,Novorossiysk,Russia,KM(*) [1] R3 passenger ship,,Passenger unberthed,13/09/1973,USSR,,,,52,0,13.000 t.,0 t.,23.10 m.,-,0.00 m.,4.40 m.,2.25 m.,1.37 m.,0.0,Diesel,"Built ME: 2000 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*220 Mark ME: 12CHSP 15/18",,1 - Fixed pitched solid propeller,4,,,,,,"Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,94,0,,,,2,Diesel oil,0 m3,,0,,15.0,"IP Vlasov Aleksey Lvovich  Address: Russia, 353427 Krasnodarskiy kr., st.Anapskaya, ul.Svetlaya, d.2 IMO: Email: morskoyklub@mail.ru Company Website:",,,,
364,МРС-150-338,170212,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) R2 fishing vessel,,Fishing,19/10/1990,Russia,338,,,61,18,24.000 t.,0 t.,22.00 m.,22.00 m.,19.70 m.,6.00 m.,2.65 m.,0.00 m.,9.5,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OSSORSKIY RK CO., LTD  Address: Russia, 683003 Petropavlovsk-Kamchatskiy, ul. Mishennaya, d. 9 IMO: Email: rko04@mail.ru Company Website:","OSSORSKIY RK CO., LTD  Address: Russia, 683003 Petropavlovsk-Kamchatskiy, ul. Mishennaya, d. 9 IMO: Email: rko04@mail.ru Company Website:",,,
365,МРС-150-359,170370,,,UBGU,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,19/10/1993,Russia,,,,61,18,23.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,0.00 m.,9.0,Diesel,,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OAO ""RYBOKONSERVNYY ZAVOD ""KOMANDOR""  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ul.Kosmonavtov 40 IMO: Email: Company Website:","OAO ""RYBOKONSERVNYY ZAVOD ""KOMANDOR""  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ul.Kosmonavtov 40 IMO: Email: Company Website:",,,
366,СЕРГЕЙ СИНЕЛЬЩИКОВ,173122,,МБ - 6077,UGFJ,Magadan,Russia,KM(*) L3 R2 tug,,Tug,01/02/1985,,,,,78,23,17.000 t.,0 t.,23.00 m.,23.00 m.,21.53 m.,5.70 m.,2.60 m.,1.90 m.,0.0,Diesel,,,,0,,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon GMDSS ship earth station Gyro-compass Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,3,0,0,0,,,,0,,0 m3,,0,,0.0,"MORSKIE PEREVOZKI Co., Ltd  Address: Russia, 685000 Magadan, ul. Rechnaya, d. 79/1 IMO: Email: sea-transport@yandex.ru Company Website:","MORSKIE PEREVOZKI Co., Ltd  Address: Russia, 685000 Magadan, ul. Rechnaya, d. 79/1 IMO: Email: sea-transport@yandex.ru Company Website:",,,
367,МРС-225-053,173123,,,UHLT,Petropavlovsk-Kamchatskiy,Russia,KM(*) L3 R1 fishing vessel,,Fishing,01/07/1973,,,,,76,23,28.000 t.,0 t.,23.77 m.,23.77 m.,21.79 m.,6.16 m.,2.68 m.,1.92 m.,0.0,Diesel,,,1 - Fixed pitched solid propeller,4,1* 50 1* 100,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"FISH PROCESSING PLANT SOCRA  Address: Russia, 684090 Kamchatskiy kray, g. Vilyuchinsk, ul. Lesnaya, 1A IMO: Email: sokracom@mail.ru Company Website:","FISH PROCESSING PLANT SOCRA  Address: Russia, 684090 Kamchatskiy kray, g. Vilyuchinsk, ul. Lesnaya, 1A IMO: Email: sokracom@mail.ru Company Website:",,,
368,МРС-225-097,173179,,,UDMH,Petropavlovsk-Kamchatskiy,Russia,KM(*) L3 R1 fishing vessel,,Fishing,30/04/1976,Russia,,,,79,23,27.000 t.,0 t.,23.77 m.,23.77 m.,21.79 m.,6.16 m.,2.68 m.,0.00 m.,9.0,Diesel,Built ME: 0 Country Construction: Country unknown The company has built ME: The number and power of ME: 1*220 Mark ME: WD618C-22,,1 - Fixed pitched solid propeller,0,1* 80 1* 56,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"ROSKAMRYBA Co., Ltd  Address: Russia, 683001 Kamchatskiy kray, Petropavlovsk-Kamchatskiy, ul. Lenininskaya 38, of. 404 IMO: Email: roskamryba@mail.ru Company Website:","ROSKAMRYBA Co., Ltd  Address: Russia, 683001 Kamchatskiy kray, Petropavlovsk-Kamchatskiy, ul. Lenininskaya 38, of. 404 IMO: Email: roskamryba@mail.ru Company Website:",,,
369,МРС-150-326,173266,,,UCFR,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,22/08/1989,Russia,326,,,61,18,22.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.69 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
370,МРС-150-704,173287,,,UDAY,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,31/03/1991,Russia,,,,62,18,24.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.64 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"LOYD-FISH LTD  Address: Russia, 683038 Petropavlovsk-Kamchatskiy, ul. Kosmicheskiy proezd, 3A IMO: Email: Company Website:","LOYD-FISH LTD  Address: Russia, 683038 Petropavlovsk-Kamchatskiy, ul. Kosmicheskiy proezd, 3A IMO: Email: Company Website:",,,
371,МРС-150-349,173308,,,UCKQ,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,19/10/1992,Russia,349,,,61,18,23.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.64 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"KRISTALL PLYUS CO LTD  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Pogranichnaya, d. 19 IMO: Email: kristall-plus@inbox.ru Company Website:","KRISTALL PLYUS CO LTD  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Pogranichnaya, d. 19 IMO: Email: kristall-plus@inbox.ru Company Website:",,,
372,МРС-150-360,173315,,,UAJW,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,27/05/1994,Russia,,,,62,18,24.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.69 m.,9.0,,,,1 - Fixed pitched solid propeller,4,1* 62,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""OZERNOVSK FISH CANNERY PLANT # 55"", JOINT-STOCK COMPANY  Address: Russia, 683000, Petropavlovsk-Kamchatskiy, pl.Shchedrina,1 a/ya 220 IMO: Email: office@rkz55.ru Company Website:","""OZERNOVSK FISH CANNERY PLANT # 55"", JOINT-STOCK COMPANY  Address: Russia, 683000, Petropavlovsk-Kamchatskiy, pl.Shchedrina,1 a/ya 220 IMO: Email: office@rkz55.ru Company Website:",,,
373,МРС-225-048,173341,,,UFPS,Vladivostok,Russia,KM(*) L3 R1 fishing vessel,,Fishing,17/06/1973,Russia,,,,78,0,26.000 t.,0 t.,23.77 m.,23.77 m.,0.00 m.,6.18 m.,2.68 m.,0.00 m.,0.0,Diesel,,,4 - Fixed pitched solid propeller,0,1* 50 1* 28,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,0,Diesel oil,0 m3,,0,Cat1,19.0,"IP Ermachkova Viktoriya Sergeevna  Address: Russia, 690065 Primorskiy kr., Vladivostok, ul. Morozova, d. 9, kv. 74 IMO: Email: evc.vl@mail.ru Company Website:","IP Ermachkova Viktoriya Sergeevna  Address: Russia, 690065 Primorskiy kr., Vladivostok, ul. Morozova, d. 9, kv. 74 IMO: Email: evc.vl@mail.ru Company Website:",,,
374,МРС-150-353,173352,,,UFNV,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,14/10/1992,Russia,353,,,62,18,22.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.64 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"RK ""KRUTOGOROVSKOYE"" LTD  Address: Russia, 683023 Petropavlovsk-Kamchatskiy, pr.Pobedy 69 IMO: Email: rk@westkamchatka.ru; rk_bm@mail.ru Company Website:","RK ""KRUTOGOROVSKOYE"" LTD  Address: Russia, 683023 Petropavlovsk-Kamchatskiy, pr.Pobedy 69 IMO: Email: rk@westkamchatka.ru; rk_bm@mail.ru Company Website:",,,
375,МРС-150-355,173359,,,UETZ,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,19/05/1993,Russia,355,,,62,18,23.000 t.,0 t.,22.00 m.,22.00 m.,19.70 m.,6.18 m.,2.65 m.,1.69 m.,9.0,Diesel,Built ME: 2018 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD10C190-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""OZERNOVSK FISH CANNERY PLANT # 55"", JOINT-STOCK COMPANY  Address: Russia, 683000, Petropavlovsk-Kamchatskiy, pl.Shchedrina,1 a/ya 220 IMO: Email: office@rkz55.ru Company Website:","""OZERNOVSK FISH CANNERY PLANT # 55"", JOINT-STOCK COMPANY  Address: Russia, 683000, Petropavlovsk-Kamchatskiy, pl.Shchedrina,1 a/ya 220 IMO: Email: office@rkz55.ru Company Website:",,,
376,МРС-150-333,173372,,,UCLO,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,25/04/1990,Russia,333,,,61,0,25.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.69 m.,9.0,Diesel,,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
